Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 64 ended with reward tensor([1.]), enemy health [0.0, 9.0], model health [0.0, 3.0]
Iteration 65 ended with reward tensor([0]), enemy health [0.0, 9.0], model health [0.0, 1.0]
Iteration 66 ended with reward tensor([-1.]), enemy health [0.0, 9.0], model health [0.0, 0.0]
enemy won!
Iteration 67 ended with reward tensor([0.4000]), enemy health [8, 8.0], model health [3.0, 9]
Iteration 68 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [0, 9]
Iteration 69 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [0, 9.0]
Iteration 70 ended with reward tensor([0.2000]), enemy health [6.0, 8.0], model health [0, 9.0]
Iteration 71 ended with reward tensor([-0.5000]), enemy health [6.0, 8.0], model health [0, 9.0]
Iteration 72 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0, 9.0]
Iteration 73 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0, 9.0]
Iteration 74 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 9.0]
Iteration 75 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 8.0]
Iteration 76 ended with reward tensor([1.]), enemy health [0.0, 8.0], model health [0, 8.0]
Iteration 77 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0, 8.0]
Iteration 78 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0, 8.0]
Iteration 79 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0, 7.0]
Iteration 80 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0, 6.0]
Iteration 81 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0, 4.0]
Iteration 82 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0, 3.0]
Iteration 83 ended with reward tensor([2.]), enemy health [0.0, 0], model health [0, 1.0]
model won!
Iteration 84 ended with reward tensor([-1.]), enemy health [8, 9], model health [8, 9]
Iteration 85 ended with reward tensor([0.7000]), enemy health [8.0, 9], model health [6.0, 9]
Iteration 86 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [2.0, 9]
Iteration 87 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0.0, 9.0]
Iteration 88 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0.0, 9.0]
Iteration 89 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0.0, 9.0]
Iteration 90 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0.0, 9.0]
Iteration 91 ended with reward tensor([0.7000]), enemy health [5.0, 7.0], model health [0.0, 6.0]
Iteration 92 ended with reward tensor([-0.5000]), enemy health [5.0, 7.0], model health [0.0, 4.0]
Iteration 93 ended with reward tensor([0.7000]), enemy health [5.0, 5.0], model health [0.0, 3.0]
Iteration 94 ended with reward tensor([0]), enemy health [5.0, 5.0], model health [0.0, 1.0]
Iteration 95 ended with reward tensor([-0.5000]), enemy health [5.0, 5.0], model health [0.0, 0.0]
enemy won!
Iteration 96 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 97 ended with reward tensor([0.2000]), enemy health [8, 9], model health [8, 9]
Iteration 98 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [6.0, 9.0]
Iteration 99 ended with reward tensor([1.4000]), enemy health [3.0, 9], model health [5.0, 9.0]
Iteration 100 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [5.0, 9.0]
Iteration 101 ended with reward tensor([0.4000]), enemy health [0.0, 6.0], model health [5.0, 9.0]
Iteration 102 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [3.0, 7.0]
Iteration 103 ended with reward tensor([-0.5000]), enemy health [0.0, 5.0], model health [3.0, 6.0]
Iteration 104 ended with reward tensor([-0.5000]), enemy health [0.0, 5.0], model health [2.0, 6.0]
Iteration 105 ended with reward tensor([-0.5000]), enemy health [0.0, 5.0], model health [2.0, 3.0]
Iteration 106 ended with reward tensor([1.2000]), enemy health [0.0, 5.0], model health [2.0, 2.0]
Iteration 107 ended with reward tensor([0.2000]), enemy health [0.0, 4.0], model health [1.0, 2.0]
Iteration 108 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0.0, 2.0]
Iteration 109 ended with reward tensor([0]), enemy health [0.0, 4.0], model health [0.0, 1.0]
Iteration 110 ended with reward tensor([-1.]), enemy health [0.0, 4.0], model health [0.0, 0.0]
enemy won!
Iteration 111 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [4.0, 9]
Iteration 112 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0.0, 9]
Iteration 113 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0.0, 6.0]
Iteration 114 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0.0, 6.0]
Iteration 115 ended with reward tensor([0.7000]), enemy health [7.0, 9], model health [0.0, 6.0]
Iteration 116 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0.0, 6.0]
Iteration 117 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0.0, 6.0]
Iteration 118 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 6.0]
Iteration 119 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 120 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 121 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 122 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 123 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 124 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 125 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 6.0]
Iteration 126 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 6.0]
Iteration 127 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 6.0]
Iteration 128 ended with reward tensor([1.]), enemy health [0, 9], model health [0.0, 6.0]
Iteration 129 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 6.0]
Iteration 130 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 5.0]
Iteration 131 ended with reward tensor([0]), enemy health [0, 9], model health [0.0, 1.0]
Iteration 132 ended with reward tensor([-1.]), enemy health [0, 9], model health [0.0, 0]
enemy won!
Iteration 133 ended with reward tensor([0.5000]), enemy health [8, 9], model health [7.0, 9]
Iteration 134 ended with reward tensor([0.7000]), enemy health [8, 8.0], model health [7.0, 9]
Iteration 135 ended with reward tensor([0.4000]), enemy health [6.0, 8.0], model health [7.0, 8.0]
Iteration 136 ended with reward tensor([0.7000]), enemy health [6.0, 7.0], model health [5.0, 8.0]
Iteration 137 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [5.0, 8.0]
Iteration 138 ended with reward tensor([0]), enemy health [0.0, 7.0], model health [4.0, 8.0]
Iteration 139 ended with reward tensor([0.5000]), enemy health [0.0, 7.0], model health [3.0, 8.0]
Iteration 140 ended with reward tensor([0.5000]), enemy health [0.0, 7.0], model health [3.0, 8.0]
Iteration 141 ended with reward tensor([0.5000]), enemy health [0.0, 7.0], model health [3.0, 8.0]
Iteration 142 ended with reward tensor([0.5000]), enemy health [0.0, 7.0], model health [1.0, 8.0]
Iteration 143 ended with reward tensor([0.5000]), enemy health [0.0, 7.0], model health [0.0, 8.0]
Iteration 144 ended with reward tensor([0.2000]), enemy health [0.0, 7.0], model health [0.0, 8.0]
Iteration 145 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0.0, 5.0]
Iteration 146 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0.0, 4.0]
Iteration 147 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0.0, 4.0]
Iteration 148 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0.0, 2.0]
Iteration 149 ended with reward tensor([-0.5000]), enemy health [0.0, 5.0], model health [0.0, 0.0]
enemy won!
Iteration 150 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 151 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [6.0, 6.0]
Iteration 152 ended with reward tensor([1.]), enemy health [0, 9], model health [5.0, 3.0]
Iteration 153 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [2.0, 3.0]
Iteration 154 ended with reward tensor([0]), enemy health [0, 7.0], model health [2.0, 2.0]
Iteration 155 ended with reward tensor([0]), enemy health [0, 7.0], model health [2.0, 0]
Iteration 156 ended with reward tensor([0.2000]), enemy health [0, 7.0], model health [2.0, 0]
Iteration 157 ended with reward tensor([-1.]), enemy health [0, 7.0], model health [0.0, 0]
enemy won!
Iteration 158 ended with reward tensor([0.2000]), enemy health [8, 9], model health [5.0, 9]
Iteration 159 ended with reward tensor([0.7000]), enemy health [7.0, 9.0], model health [1.0, 9]
Iteration 160 ended with reward tensor([0.7000]), enemy health [7.0, 9.0], model health [0.0, 9]
Iteration 161 ended with reward tensor([-0.5000]), enemy health [7.0, 9.0], model health [0.0, 9]
Iteration 162 ended with reward tensor([0.7000]), enemy health [6.0, 9.0], model health [0.0, 9]
Iteration 163 ended with reward tensor([-0.5000]), enemy health [6.0, 9.0], model health [0.0, 9.0]
Iteration 164 ended with reward tensor([-0.5000]), enemy health [6.0, 9.0], model health [0.0, 6.0]
Iteration 165 ended with reward tensor([-0.5000]), enemy health [6.0, 9.0], model health [0.0, 6.0]
Iteration 166 ended with reward tensor([-0.5000]), enemy health [6.0, 9.0], model health [0.0, 6.0]
Iteration 167 ended with reward tensor([0.7000]), enemy health [5.0, 9.0], model health [0.0, 6.0]
Iteration 168 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [0.0, 6.0]
Iteration 169 ended with reward tensor([0.7000]), enemy health [4.0, 9.0], model health [0.0, 6.0]
Iteration 170 ended with reward tensor([-0.5000]), enemy health [4.0, 9.0], model health [0.0, 6.0]
Iteration 171 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 6.0]
Iteration 172 ended with reward tensor([0.7000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 173 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 174 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 175 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 176 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 177 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 178 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 5.0]
Iteration 179 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 2.0]
Iteration 180 ended with reward tensor([0.7000]), enemy health [1.0, 9.0], model health [0.0, 2.0]
Iteration 181 ended with reward tensor([-0.5000]), enemy health [1.0, 9.0], model health [0.0, 1.0]
Iteration 182 ended with reward tensor([1.]), enemy health [0, 9.0], model health [0.0, 1.0]
Iteration 183 ended with reward tensor([-0.5000]), enemy health [0, 9.0], model health [0.0, 0.0]
enemy won!
Iteration 184 ended with reward tensor([0.2000]), enemy health [8, 9], model health [4.0, 9]
Iteration 185 ended with reward tensor([0.7000]), enemy health [8, 9], model health [4.0, 7.0]
Iteration 186 ended with reward tensor([0.2000]), enemy health [5.0, 9.0], model health [4.0, 5.0]
Iteration 187 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [1.0, 5.0]
Iteration 188 ended with reward tensor([0.7000]), enemy health [5.0, 6.0], model health [0, 5.0]
Iteration 189 ended with reward tensor([-0.5000]), enemy health [5.0, 6.0], model health [0, 5.0]
Iteration 190 ended with reward tensor([0.7000]), enemy health [4.0, 6.0], model health [0, 5.0]
Iteration 191 ended with reward tensor([0.7000]), enemy health [4.0, 5.0], model health [0, 1.0]
Iteration 192 ended with reward tensor([-1.]), enemy health [4.0, 5.0], model health [0, 0.0]
enemy won!
Iteration 193 ended with reward tensor([0.5000]), enemy health [8, 9], model health [7.0, 9]
Iteration 194 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [5.0, 9]
Iteration 195 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [5.0, 9.0]
Iteration 196 ended with reward tensor([-1.]), enemy health [8, 8.0], model health [3.0, 9.0]
Iteration 197 ended with reward tensor([0.7000]), enemy health [8.0, 7.0], model health [3.0, 8.0]
Iteration 198 ended with reward tensor([-0.5000]), enemy health [8.0, 7.0], model health [2.0, 8.0]
Iteration 199 ended with reward tensor([-0.5000]), enemy health [8.0, 7.0], model health [1.0, 8.0]
Iteration 200 ended with reward tensor([-0.5000]), enemy health [8.0, 7.0], model health [0.0, 8.0]
Iteration 201 ended with reward tensor([0.2000]), enemy health [3.0, 7.0], model health [0.0, 8.0]
Iteration 202 ended with reward tensor([-0.5000]), enemy health [3.0, 7.0], model health [0.0, 8.0]
Iteration 203 ended with reward tensor([0.7000]), enemy health [3.0, 7.0], model health [0.0, 8.0]
Iteration 204 ended with reward tensor([0.7000]), enemy health [1.0, 7.0], model health [0.0, 8.0]
Iteration 205 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 7.0]
Iteration 206 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [0.0, 4.0]
Iteration 207 ended with reward tensor([1.]), enemy health [0.0, 7.0], model health [0.0, 4.0]
Iteration 208 ended with reward tensor([-1.]), enemy health [0.0, 7.0], model health [0.0, 0.0]
enemy won!
Iteration 209 ended with reward tensor([0.7000]), enemy health [8, 9.0], model health [8, 8.0]
Iteration 210 ended with reward tensor([0.9000]), enemy health [8, 8.0], model health [3.0, 8.0]
Iteration 211 ended with reward tensor([0.4000]), enemy health [5.0, 8.0], model health [1.0, 8.0]
Iteration 212 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 8.0]
Iteration 213 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 214 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 215 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 216 ended with reward tensor([0]), enemy health [5.0, 8.0], model health [0, 2.0]
Iteration 217 ended with reward tensor([0]), enemy health [5.0, 8.0], model health [0, 2.0]
Iteration 218 ended with reward tensor([0]), enemy health [5.0, 8.0], model health [0, 2.0]
Iteration 219 ended with reward tensor([0.7000]), enemy health [4.0, 8.0], model health [0, 2.0]
Iteration 220 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0, 2.0]
Iteration 221 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [0, 2.0]
Iteration 222 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [0, 2.0]
Iteration 223 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [0, 2.0]
Iteration 224 ended with reward tensor([-1.]), enemy health [1.0, 8.0], model health [0, 0]
enemy won!
Iteration 225 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 9.0]
Iteration 226 ended with reward tensor([0.4000]), enemy health [8, 9.0], model health [8, 8.0]
Iteration 227 ended with reward tensor([0.7000]), enemy health [8, 5.0], model health [3.0, 8.0]
Iteration 228 ended with reward tensor([-0.5000]), enemy health [8, 5.0], model health [3.0, 8.0]
Iteration 229 ended with reward tensor([-0.5000]), enemy health [8, 5.0], model health [3.0, 7.0]
Iteration 230 ended with reward tensor([-0.5000]), enemy health [8, 5.0], model health [3.0, 3.0]
Iteration 231 ended with reward tensor([-0.5000]), enemy health [8, 5.0], model health [0.0, 3.0]
Iteration 232 ended with reward tensor([0]), enemy health [8, 5.0], model health [0.0, 1.0]
Iteration 233 ended with reward tensor([-1.]), enemy health [8, 5.0], model health [0.0, 0.0]
enemy won!
Iteration 234 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 235 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [4.0, 9.0]
Iteration 236 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0.0, 9.0]
Iteration 237 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 238 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 9.0]
Iteration 239 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 9.0]
Iteration 240 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 6.0]
Iteration 241 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 242 ended with reward tensor([0]), enemy health [1.0, 9], model health [0.0, 4.0]
Iteration 243 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0.0, 2.0]
Iteration 244 ended with reward tensor([-1.]), enemy health [1.0, 8.0], model health [0.0, 0.0]
enemy won!
Iteration 245 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 246 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 247 ended with reward tensor([0.7000]), enemy health [8, 7.0], model health [3.0, 9]
Iteration 248 ended with reward tensor([0.9000]), enemy health [8, 7.0], model health [3.0, 9.0]
Iteration 249 ended with reward tensor([0.7000]), enemy health [7.0, 7.0], model health [0, 9.0]
Iteration 250 ended with reward tensor([-0.5000]), enemy health [7.0, 7.0], model health [0.0, 9.0]
Iteration 251 ended with reward tensor([0.7000]), enemy health [7.0, 7.0], model health [0.0, 8.0]
Iteration 252 ended with reward tensor([-0.5000]), enemy health [7.0, 7.0], model health [0.0, 5.0]
Iteration 253 ended with reward tensor([0]), enemy health [7.0, 7.0], model health [0.0, 3.0]
Iteration 254 ended with reward tensor([0]), enemy health [7.0, 7.0], model health [0.0, 3.0]
Iteration 255 ended with reward tensor([-1.]), enemy health [7.0, 7.0], model health [0.0, 0]
enemy won!
Iteration 256 ended with reward tensor([0.5000]), enemy health [8, 9], model health [5.0, 9]
Iteration 257 ended with reward tensor([0.9000]), enemy health [8, 9.0], model health [5.0, 9]
Iteration 258 ended with reward tensor([0.7000]), enemy health [6.0, 9.0], model health [1.0, 9]
Iteration 259 ended with reward tensor([0.7000]), enemy health [5.0, 9.0], model health [0.0, 9]
Iteration 260 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [0.0, 9]
Iteration 261 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [0.0, 9]
Iteration 262 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [0.0, 6.0]
Iteration 263 ended with reward tensor([-0.5000]), enemy health [5.0, 9.0], model health [0.0, 5.0]
Iteration 264 ended with reward tensor([-1.]), enemy health [5.0, 9.0], model health [0.0, 0.0]
enemy won!
Iteration 265 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 266 ended with reward tensor([0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 267 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 9]
Iteration 268 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8.0, 9]
Iteration 269 ended with reward tensor([0.7000]), enemy health [6.0, 9], model health [8.0, 9]
Iteration 270 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [6.0, 9]
Iteration 271 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 9]
Iteration 272 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 273 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 274 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 275 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 276 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 6.0]
Iteration 277 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 6.0]
Iteration 278 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 6.0]
Iteration 279 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 5.0]
Iteration 280 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 5.0]
Iteration 281 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 5.0]
Iteration 282 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 283 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 4.0]
Iteration 284 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 4.0]
Iteration 285 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0.0, 4.0]
Iteration 286 ended with reward tensor([0]), enemy health [0.0, 9], model health [0.0, 3.0]
Iteration 287 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 3.0]
Iteration 288 ended with reward tensor([0]), enemy health [0.0, 6.0], model health [0.0, 1.0]
Iteration 289 ended with reward tensor([-1.]), enemy health [0.0, 6.0], model health [0.0, 0]
enemy won!
Iteration 290 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [1.0, 9]
Iteration 291 ended with reward tensor([0.7000]), enemy health [8, 8.0], model health [1.0, 8.0]
